House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"INVESTOR ALERT! Opportunity for a builder or developer! You can fix it or remove to rebuild. Huge 50'x150' corner lot with RF3 zoning allows to have a small scale infill development, building semi/single detached housing, duplex & multi unit housing, minor home based business & supporting homes. This 1400 Sqft raised bungalow across from the park features, 3+1 bedrooms, 2 bonus rooms, 2 full baths, renovated kitchen & a fully finished basement. Bonus rooms on the upper level can be utilized as bedrooms. Newer shingles, some flooring, most of the windows & doors. Home still needs ample work but reflects on the price. Conveniently located close to Schools, park/play ground, Shopping & Public transportation. Don't let this opportunity slip you by!","$289,000",4,2.00,2,"1,401",0.17,1945,Single Family,Residential Detached Single Family,Bungalow,12102 81 Street Nw,Edmonton,Eastwood,,Edmonton,ALBERTA,AB,T5B 2T1,Handyman Special,,Off Street,No,No,Ceramic Tile,"Dryer, Refrigerator, Washer, Stove-Electric",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Stone, Stucco","Back Lane, Park/Reserve, Public Transportation, Schools, Shopping Nearby, Corner, Playground Nearby",Wood Frame,Concrete,Nebula Academy,Eastwood,,No,No,Courtesy Of Jay Bedi Of Homes & Gardens Real Estate Limited,3,,,,,RF3,,,,
"Welcome to this beautiful bungalow in Dovercourt! You want a house that has a ton of upgrades? New windows, new deck, new backdoor, new kitchen with all new appliances, new bathroom, new fireplace, new basement carpet, to name a few. Ever wanted a kitchen with a beautiful quartz countertops, look no further! That backyard... want to have your entire family over and even the extended ones you never see? Well this backyard is huge, with a huge deck too. Plenty of parking, green space across the street and a school within walking distance, this is a must see!","$419,000",3,2.00,2,815,0.15,1959,Single Family,Residential Detached Single Family,Bungalow,13712 119 Avenue Nw,Edmonton,Dovercourt,,Edmonton,ALBERTA,AB,T5L 2N6,"Deck, Detectors Smoke, No Smoking Home, Vinyl Windows",,"On Street, Single Garage Detached",No,No,"Carpet, Ceramic Tile, Hardwood","Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings, Dishwasher-Built-In, Dryer",Forced Air-1,No,2,Yes,"Fully Finished, Full",No,Vinyl,"Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Lee Monfette Of Homes & Gardens Real Estate Limited,2,1,,,,,,,,
"Situated in the highly sought-after & historic Highlands neighbourhood, this charming raised bungalow on a 46' wide lot commands attention on a beautiful tree-lined street. The home is close to schools, shopping, recreation facilities & 1.5 blocks from the popular river valley park system. It is a solidly built home that has been well maintained, including a new roof and many newer energy-efficient windows. The floor plan consists of an ample living room & an eat-in kitchen, four bedrooms, two bathrooms, and a large laundry room w/ storage. The kitchen has plenty of potential to allow an island or a large dining table. Also, the basement sits higher, allowing for more light through the large windows, & the main floor has nearly 9' high ceilings. The spacious backyard provides a great play area for kids & entertaining. The oversized two-car garage and three rear parking spaces finish off the backyard. This family home offers exceptional value and immediate possession; check it out today.","$397,500",4,2.00,2,992,0.14,1953,Single Family,Residential Detached Single Family,Bungalow,11229 51 Street Nw,Edmonton,Highlands,,Edmonton,ALBERTA,AB,T5W 3E7,See Remarks,,Double Garage Detached,No,No,"Carpet, Hardwood, Linoleum","Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Stove-Electric, Washer, Window Coverings",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,"Back Lane, Flat Site, Golf Nearby, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,Highlands,Highlands,Eastglenn,No,No,Courtesy Of Christopher Proctor Of MaxWell Devonshire Realty,2,2,,,,,,,,
"Located on a large lot, this ORIGINAL OWNER home is immaculate and loaded with possibilities! The main floor features a front living room with beautiful bay window, formal dining area, an eat in kitchen, 3 bedrooms + a 4 pce bathroom. The basement features a SECOND KITCHEN, family room w/ wood burning fireplace, a den, 3 pce bathroom and a laundry room. The backyard hosts a large covered deck, plenty of trees and space to enjoy. Completing this home is the oversized and insulated, detached double garage. Pride in ownership shines through, and many original details fill this home with character and charm! Recent upgrades include: Roof (2019), Windows, Garage Door, HE Furnace + Hot Water Tank.","$334,900",3,2.00,2,"1,038",0.14,1980,Single Family,Residential Detached Single Family,Bungalow,11929 138 Avenue Nw,Edmonton,Carlisle,,Edmonton,ALBERTA,AB,T5X 4K1,"Deck, Air Conditioner, Hot Water Natural Gas, Vinyl Windows, See Remarks",5,"Double Garage Detached, Insulated, Over Sized",No,No,"Carpet, Linoleum","Dryer, Garage Control, Garage Opener, Hood Fan, Washer, Window Coverings, Water Softener, See Remarks, Refrigerators-Two, Stoves-Two, Air Conditioning-Central",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",Yes,"Stucco, Brick","Fenced, Landscaped, Public Transportation, Shopping Nearby, Flat Site, Fruit Trees/Shrubs, No Back Lane, No Through Road, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Stefani Schell Of RE/MAX Elite,3,2,,,"Wood, Mantel, Stone Facing, Woodstove",,,,,
"A 3+1 bedroom, 3 full-bath bungalow with DBL att. garage, 9,000 Sq FT lot, & RV Parking, in The Fraser River Parks with direct access out the back gate onto the multi-use trail system. A perfect place to raise your family! Filled w/natural light, gleaming hardwood flooring & solid wood casings throughout the well laid out main floor. The crisp white kitchen is highlighted with recessed lighting, offers plenty of storage + counter space with a pantry and built-in workspace that is centrally located for the kids to do their homework. The kitchen is located off the deck w/a BBQ gas line overlooking the huge backyard with storage shed and play set. A wood-burning fireplace in the main living space and three bedrooms, including the primary w/a generous walk-in closet plus a 4-PC ensuite. An add'l 4-PC bath, separate laundry room & foyer w/garage access complete this level. Partially finished lower has a 4th bedroom, and add'l full bath. Don’t miss the opportunity to live in this exclusive ravine setting!","$530,000",4,3.00,3,"1,766",0.21,1999,Single Family,Residential Detached Single Family,Bungalow,1532 147 Avenue Nw,Edmonton,Fraser,,Edmonton,ALBERTA,AB,T5Y 2X9,"Deck, See Remarks, Natural Gas BBQ Hookup",,Double Garage Attached,No,No,"Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings",Forced Air-1,Yes,2,Yes,"Full, Partly Finished",No,"Brick, Stucco","Backs Onto Park/Trees, Fenced, Golf Nearby, No Back Lane, Playground Nearby, Public Transportation, Schools, Shopping Nearby, See Remarks, Ravine View",Wood Frame,Concrete,Fraser School K-6,John D. Bracco School 7-9,Eastglen School 10-12,No,No,Courtesy Of Ryan Huska Of YEGPro Realty,3,2,6.54x7.17,,"Wood, Mantel, Tile Surround",R1,,,,
"This 900 ft2 bungalow will allow you to say good bye to your landlord. Make your own rules and enjoy your freedom in this 3 bedroom home. If you want to garden, you will love the size of the huge yard. With no neighbour back or beside due to laneways and a newer high fence adds privacy if you want to entertain. The huge deck will hold all your friends and family for summertime get togethers. The home has original hardwood in the living room plus all 3 bedrooms. The bathroom window was removed to prevent moisture and a new tub surround and tub have updated the space. The kitchen, hallway and bathroom all have attractive easy care ceramic tile. The kitchen has newer solid maple cabinets, replaced counter tops and ceramic backsplash. The large window lets you enjoy morning sunshine while you eat your breakfast. The large sealed window in the living room has a permanent awning. The Maytag full sized washer and dryer in the utility room plus a higher efficient furnace and 2006 Hot water tank.","$235,000",3,1.00,1,958,0.16,1955,Single Family,Residential Detached Single Family,Bungalow,12947 116 Street Nw,Edmonton,Calder,,Edmonton,ALBERTA,AB,T5E 5H3,"Deck, Detectors Smoke, Hot Water Natural Gas, Natural Gas BBQ Hookup, Crawl Space, Programmable Thermostat",4,Double Garage Detached,No,No,"Ceramic Tile, Hardwood","Dryer, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings",Forced Air-1,No,1,No,"None, No Basement, Crawl Space",No,"Stucco, Cedar","Back Lane, Corner, Fenced, Flat Site, Landscaped, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, Fruit Trees/Shrubs",Wood Frame,Concrete,"Calder, Sir John Thompson",Rosslyn,,No,No,Courtesy Of Cheryl Rolfe Of Local Real Estate,,2,,,,,,,,
"Stunning fully finished, 4 beds & 4 baths bungalow in Laurier Heights. Walking in, you’re captured by the VAULTED CEILING living rm, floor to ceiling tiled f/p - open concept to dining rm & kitchen. Triple glazed windows & skylight. Gourmet CUSTOM kitchen: high end black s/s appliances, quartz countertops, backsplash, side pantry wall & island w/ seating. Primary suite w/ grand 5-piece ensuite featuring: custom built-in closets, his & hers sinks, heated floors & resort like shower/tub combo. Additional 2 bedrooms: 1 w/ 5-piece ensuite, dual sinks, custom closet & 1(bedroom/den) across from 4-piece bath. Separate rear entrance to basement: living rm, theatre rm, bedroom, 4-piece bath & laundry rm. All baths heated floors. A/C. South facing corner lot:wrap around deck (stained 2021)-great for entertaining w/ privacy walls, potential green space/RV parking behind double detached heated garage. Walking distance to spray park, trails & bike paths. Quick proximity to Downtown. Complete detailed list of reno's.","$950,000",4,4.00,4,"2,089",0.00,1958,Single Family,Residential Detached Single Family,Bungalow,14420 78 Avenue Nw,Edmonton,Laurier Heights,,Edmonton,ALBERTA,AB,T5R 3C3,"Deck, Air Conditioner, Skylight, Vaulted Ceiling",,"Heated, Double Garage Detached",No,No,"Carpet, Engineered Wood","Dishwasher-Built-In, Dryer, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings, Air Conditioning-Central",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",No,Stucco,"Fenced, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Low Maintenance Landscape",Wood Frame,Concrete,,,,No,No,Courtesy Of Tahnee Botten Of Schmidt Realty Group Inc,3,2,,,"Gas, Tile Surround",,,,,
"Ideal setting for this cute home. Located on a one-way street with a bike/walking lane directly out front and facing K-6 Elementary School and park. Inglewood is an up-and-coming area with lots of revitalization happening with many new infills and the Charles Camsell Hospital project right around the corner and your just 8 blocks from Westmount Mall. The bungalow has had a nice exterior face lift and sits on a RF3 46x130 lot with single detached garage and rear parking. Front and side entrance to the inside with kitchens on both levels, living spaces on both levels, full bathrooms on each level, common laundry, 2 large bedrooms up and 1 large bedroom down. Many upgrades have been done to the home making for an ideal investment","$325,000",3,2.00,2,"1,023",0.14,1951,Single Family,Residential Detached Single Family,Bungalow,11514 127 Street Nw,Edmonton,Inglewood,,Edmonton,ALBERTA,AB,T5M 0V3,See Remarks,,Single Garage Detached,No,No,"Carpet, Laminate Flooring, Linoleum","Dryer, Washer, Refrigerators-Two, Stoves-Two, Dishwasher-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,Stucco,"Back Lane, Fenced, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Jonathan Hull Of 2% Realty Pro,2,1,,,,,,,,
"Welcome! Great opportunity in the revitalized neighbourhood of Canora. This 1972 bungalow is well maintained by the original owner & ready for a new family. Excellent opportunity for Investors. The front porch welcomes you to a spacious main floor with extra space for wheelchair accessibility along with open concept living and dining rooms. An L-shaped, eat-in kitchen with a new stove (2022) & plenty of cupboard space at the rear end of the home. Hardwood throughout in great shape complemented by large windows with plenty of natural light. 3 large bdrms with 1 4-pce SPACIOUS bthrm (ensuite & main bath) add to the list. This home features a huge 3 season room , ACCESSIBLE LIFTS to the front door & all levels, a finished bsmt w 1 bdrm, 1 full bath & a lge den area for you to make your own. Upgrades include: New HWT (2022), Roof (2015), Dryer (2015), The large, fully fenced yard has a dble detached garage (as is) with ample parking backing onto the laneway. Don't let his one go - worth viewing!","$330,000",4,2.00,2,"1,117",0.17,1972,Single Family,Residential Detached Single Family,Bungalow,10416 154 Street Nw,Edmonton,Canora,,Edmonton,ALBERTA,AB,T5P 2H8,"Carbon Monoxide Detectors, Detectors Smoke, No Animal Home, No Smoking Home, Wood Windows",,"Double Garage Detached, Front and Rear Drive Access, On Street",No,No,"Carpet, Hardwood, Linoleum","Dryer, Refrigerator, Stove-Electric, Washer, Storage Shed, Window Coverings, Freezer, Hood Fan",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Brick, Stucco","Back Lane, Fenced, Landscaped, Schools, Shopping Nearby, See Remarks, Paved Lane",Wood Frame,Concrete,Brightview School,,Canora Composite School,No,No,Courtesy Of Shelly Militsala Of Coldwell Banker Mountain Central,3,2,,,,,,,,
"Great starter home or investment property that has been recently updated and is ready to move in. HUGE lot located in the beautiful community of Athlone that is ready for a green thumb. Close to schools, parks and shopping. This home has an open concept kitchen and living with a large master bedroom and updated bathroom. Detached garage and TONS of parking.","$274,900",2,1.00,1,"1,105",0.14,1956,Single Family,Residential Detached Single Family,Bungalow,12824 130 Street Nw,Edmonton,Athlone,,Edmonton,ALBERTA,AB,T5L 1L5,"Crawl Space, Hot Water Natural Gas",,"On Street, Over Sized, Single Garage Detached",No,No,"Carpet, Laminate Flooring","Refrigerator, Stove-Electric, Washer, Dishwasher-Built-In, Dryer",Forced Air-1,No,1,No,"Crawl Space, No Basement, None",No,Vinyl,"Partially Fenced, Back Lane, Flat Site, Playground Nearby, Schools, Shopping Nearby",Wood Frame,Concrete,Athlone school,,,No,No,Courtesy Of Isaac Kristensen Of Digger Real Estate Inc.,2,1,21X13 feet,,,,,,,
